"X","Y","site"
2.475,43.975,514
2.525,43.975,515
2.575,43.975,516
2.625,43.975,517
2.675,43.975,518
2.725,43.975,519
2.775,43.975,520
2.825,43.975,521
2.875,43.975,522
2.925,43.975,523
2.975,43.975,524
3.025,43.975,525
3.075,43.975,526
3.125,43.975,527
3.175,43.975,528
3.225,43.975,529
3.275,43.975,530
3.325,43.975,531
3.375,43.975,532
3.425,43.975,533
3.475,43.975,534
3.525,43.975,535
3.575,43.975,536
3.625,43.975,537
3.675,43.975,538
3.725,43.975,539
3.775,43.975,540
3.825,43.975,541
3.875,43.975,542
3.925,43.975,543
3.975,43.975,544
4.025,43.975,545
4.075,43.975,546
4.125,43.975,547
4.175,43.975,548
4.225,43.975,549
4.275,43.975,550
